Product Type,Product Sub-Category,Type,Period,Forecast_Qty,Model
Processed Meat,Jelly Fish,future_forecast,2014-05-01,13.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Jelly Fish,future_forecast,2014-06-01,27.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Jelly Fish,future_forecast,2014-07-01,24.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Jelly Fish,future_forecast,2014-08-01,-6.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Jelly Fish,future_forecast,2014-09-01,32.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Jelly Fish,future_forecast,2014-10-01,17.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Jelly Fish,future_forecast,2014-11-01,68.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Jelly Fish,future_forecast,2014-12-01,45.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Oysters (Clam),future_forecast,2014-01-01,36.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Oysters (Clam),future_forecast,2014-02-01,24.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Oysters (Clam),future_forecast,2014-03-01,35.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Oysters (Clam),future_forecast,2014-04-01,4.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Oysters (Clam),future_forecast,2014-05-01,28.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Oysters (Clam),future_forecast,2014-06-01,21.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Oysters (Clam),future_forecast,2014-07-01,43.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Oysters (Clam),future_forecast,2014-08-01,29.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Oysters (Clam),future_forecast,2014-09-01,8.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Oysters (Clam),future_forecast,2014-10-01,29.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Oysters (Clam),future_forecast,2014-11-01,67.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Oysters (Clam),future_forecast,2014-12-01,124.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Pacific Squid,future_forecast,2014-01-01,13.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Pacific Squid,future_forecast,2014-02-01,16.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Pacific Squid,future_forecast,2014-03-01,12.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Pacific Squid,future_forecast,2014-04-01,42.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Pacific Squid,future_forecast,2014-05-01,11.0,"SARIMAX(1,1,1)x(1,1,1,12)"
